alert_rank,record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,predicted_risk,probability_high,forecast_available,predicted_next_achievement_rate,forecast_status,predicted_anomaly,anomaly_score,risk_component_score,forecast_component_score,anomaly_component_score,early_warning_score,early_warning_priority,warning_signal_count,signal_agreement,primary_driver,secondary_driver,tertiary_driver,strongest_protective_signal,priority_message,integrated_investigation_guidance,review_status,forecast_context,decision_use
251,ES-001755,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 1,0.649,Medium,0.0239672146197982,True,0.6569583533866101,Watch,0,-0.1215498011697506,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Supply delay,Elevated complaints,Strong activity completion,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review feedback and complaint records for recurring operational issues.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
252,ES-003099,2026-03-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 1,0.7471,Medium,0.0226163597039689,True,0.7222024674213068,Watch,0,-0.1816213289097288,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Reporting delay,Supply delay,Strong achievement,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
253,ES-001085,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 4,0.6692,Medium,0.0207718304199811,True,0.6821532236472015,Watch,0,-0.2062823938851708,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Reporting delay,Lower access constraints,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
254,ES-005215,2026-07-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 1,0.6586,Medium,0.0205215366157286,True,0.6794075196203628,Watch,0,-0.1567779694989173,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Elevated complaints,Low activity completion,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues. | Review delayed or incomplete activities and implementation constraints.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
255,ES-002303,2026-07-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 6,0.7122,Medium,0.0200382078633135,True,0.7075150335223593,Watch,0,-0.1415831637252735,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Supply delay,Access constraints,Low staff availability,Lower complaints,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
256,ES-000763,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 6,0.6437,Medium,0.0194006555822931,True,0.6538387945724972,Watch,0,-0.2145108457182633,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Access constraints,Reporting delay,Lower complaints,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Validate reporting timeliness and follow up on delayed field submissions.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
257,ES-003807,2026-07-01,Education Access Project,Education,Borno,Mafa,Mafa Site 5,0.6687,Medium,0.0188051736376386,True,0.6588767548366739,Watch,0,-0.2186167929377865,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Low staff availability,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
258,ES-003965,2026-05-01,Education Access Project,Education,Borno,Bama,Bama Site 4,0.7161,Medium,0.0182343264967123,True,0.6975249489711731,Watch,0,-0.1648943067984415,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Reporting delay,Low activity completion,Supply delay,Lower access constraints,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
259,ES-003419,2026-03-01,Education Access Project,Education,Borno,Jere,Jere Site 5,0.6421,Medium,0.0175010758834266,True,0.6783405115426868,Watch,0,-0.1947066337339809,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Low activity completion,Reporting delay,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
260,ES-006942,2026-06-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 1,0.6573,Medium,0.0151314798002709,True,0.6658804320777227,Watch,0,-0.2171266596881605,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Low activity completion,Access constraints,Timely reporting,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
261,ES-006524,2026-04-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 6,0.6955,Medium,0.0148307977425163,True,0.6766806639448545,Watch,0,-0.2229584284322181,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Reporting delay,Strong staff availability,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
262,ES-005692,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 4,0.6797,Medium,0.0132876092854282,True,0.6831464486129684,Watch,0,-0.1585031124968271,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Reporting delay,Low achievement,Elevated complaints,Strong activity completion,Risk: Medium | Forecast: Watch | Anomaly: No alert,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
263,ES-002778,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 3,0.6723,Medium,0.0132725143175271,True,0.6590967084261695,Watch,0,-0.1191192243785591,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Reporting delay,Low activity completion,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
264,ES-001151,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 6,0.6689,Medium,0.0131475379036904,True,0.6722873305094647,Watch,0,-0.2108034425810877,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Supply delay,Lower complaints,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
265,ES-003644,2026-04-01,Education Access Project,Education,Borno,Konduga,Konduga Site 6,0.7016,Medium,0.0126545614379944,True,0.7170382793032753,Watch,0,-0.1375039645999162,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Reporting delay,Low activity completion,Low achievement,Lower access constraints,Risk: Medium | Forecast: Watch | Anomaly: No alert,Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
266,ES-006014,2026-06-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 2,0.7184,Medium,0.0117540540529655,True,0.7126529943352204,Watch,0,-0.1571908635821002,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Reporting delay,Access constraints,Elevated complaints,Strong activity completion,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery. | Review feedback and complaint records for recurring operational issues.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
267,ES-007582,2026-06-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 3,0.7013,Medium,0.0113063558211159,True,0.6952415928634709,Watch,0,-0.1795296872799802,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Reporting delay,Access constraints,Low achievement,Strong staff availability,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery. | Review progress against targets and identify implementation bottlenecks.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
268,ES-001275,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 4,0.6708,Medium,0.0110722003197075,True,0.6682369220863505,Watch,0,-0.12531773077949,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Reporting delay,Low achievement,Low activity completion,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
269,ES-003902,2026-06-01,Education Access Project,Education,Borno,Bama,Bama Site 2,0.6307,Medium,0.010904297825681,True,0.681155447512125,Watch,0,-0.1897007261258971,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Elevated complaints,Reporting delay,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
270,ES-003966,2026-06-01,Education Access Project,Education,Borno,Bama,Bama Site 4,0.7061,Medium,0.0102186414688909,True,0.6944031354578833,Watch,0,-0.1740909923849052,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Supply delay,Reporting delay,Lower access constraints,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
271,ES-001404,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 2,0.6771,Medium,0.0094918890592842,True,0.6666118378516025,Watch,0,-0.2224114957348768,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Access constraints,Timely reporting,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
272,ES-007615,2026-07-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 4,0.6925,Medium,0.0093643235298769,True,0.6582838344017875,Watch,0,-0.2091800550149779,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Reporting delay,Lower access constraints,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
273,ES-002749,2026-05-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 2,0.6746,Medium,0.0091483880120831,True,0.7039168768892449,Watch,0,-0.151559921404898,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Supply delay,Reporting delay,Strong activity completion,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
274,ES-006302,2026-06-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 5,0.6653,Medium,0.0090955718388682,True,0.6797478109088072,Watch,0,-0.1933472532748697,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Reporting delay,Elevated complaints,Strong staff availability,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review feedback and complaint records for recurring operational issues.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
275,ES-004922,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 4,0.6809,Medium,0.0089653222749372,True,0.7033943297218744,Watch,0,-0.2025149107120516,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Low activity completion,Reporting delay,Lower access constraints,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
276,ES-001791,2026-07-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 2,0.6931,Medium,0.0083494812510676,True,0.7030114088142588,Watch,0,-0.1124903477947489,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Elevated complaints,Low activity completion,Low achievement,Strong staff availability,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review feedback and complaint records for recurring operational issues. | Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
277,ES-001595,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 2,0.7299,Medium,0.0081045283013561,True,0.7389757917266723,Watch,0,-0.0786340843209353,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Reporting delay,Supply delay,Elevated complaints,Strong activity completion,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks. | Review feedback and complaint records for recurring operational issues.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
278,ES-002459,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 5,0.7016,Medium,0.0079948746947919,True,0.6853589228000515,Watch,0,-0.2094184462202603,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Supply delay,Low achievement,Strong staff availability,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
279,ES-001503,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 5,0.662,Medium,0.0078961709872149,True,0.6851753141983349,Watch,0,-0.1547604582323918,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Reporting delay,Elevated complaints,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review feedback and complaint records for recurring operational issues.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
280,ES-003930,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 3,0.6507,Medium,0.00767232796354,True,0.7038840029177211,Watch,0,-0.173991462460809,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Supply delay,Reporting delay,Strong activity completion,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
281,ES-007102,2026-06-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 6,0.7121,Medium,0.006639413863681,True,0.7039263021830454,Watch,0,-0.2114589471672458,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Reporting delay,Supply delay,Strong staff availability,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
282,ES-004638,2026-06-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 1,0.6849,Medium,0.0059605807664966,True,0.7087232317647999,Watch,0,-0.2029864382467088,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Reporting delay,Strong data quality,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
283,ES-002623,2026-07-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 4,0.6399,Medium,0.0051794047784079,True,0.6630084374361706,Watch,0,-0.1896973470485602,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Supply delay,Low activity completion,Timely reporting,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
284,ES-002492,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 6,0.6926,Medium,0.0051702298873644,True,0.6711858446942851,Watch,0,-0.1523833180633796,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Elevated complaints,Low achievement,Timely reporting,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
285,ES-002171,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 2,0.6765,Medium,0.0051572137373365,True,0.6685849612942205,Watch,0,-0.2253930898335776,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Low staff availability,Timely reporting,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
286,ES-003837,2026-05-01,Education Access Project,Education,Borno,Mafa,Mafa Site 6,0.6693,Medium,0.0048654260478914,True,0.6890752282453454,Watch,0,-0.202787575969066,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Supply delay,Access constraints,Strong activity completion,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
287,ES-003962,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 4,0.6507,Medium,0.0048481178605964,True,0.6563060852648974,Watch,0,-0.1916853270462447,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Low activity completion,Low staff availability,Lower complaints,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
288,ES-003455,2026-07-01,Education Access Project,Education,Borno,Jere,Jere Site 6,0.6847,Medium,0.0044842118410271,True,0.6915368563320766,Watch,0,-0.2177648327949192,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Reporting delay,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
289,ES-004542,2026-06-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 4,0.6082,Medium,0.0041213198716107,True,0.6548151057040557,Watch,0,-0.155403536287468,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Elevated complaints,Supply delay,Timely reporting,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues. | Review procurement, logistics and supply-chain bottlenecks.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
290,ES-004380,2026-04-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 5,0.74,Medium,0.003929535945405,True,0.7249996771456683,Watch,0,-0.11839912944207,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Supply delay,Low activity completion,Elevated complaints,Strong achievement,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
291,ES-007514,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 1,0.6544,Medium,0.0037452290565605,True,0.6767550609690093,Watch,0,-0.1914201624007628,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Reporting delay,Access constraints,Strong activity completion,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
292,ES-001242,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 3,0.6799,Medium,0.003725077021422,True,0.7066639128690387,Watch,0,-0.1900972121347031,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Reporting delay,Lower access constraints,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
293,ES-004061,2026-05-01,Education Access Project,Education,Borno,Ngala,Ngala Site 1,0.6942,Medium,0.0036860289426279,True,0.6785494102256001,Watch,0,-0.2103722663786174,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low activity completion,Low achievement,Elevated complaints,Limited supply delay,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
294,ES-002783,2026-07-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 3,0.6382,Medium,0.0036465284733353,True,0.6745886161047007,Watch,0,-0.1666688729663676,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Reporting delay,Low activity completion,Lower complaints,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
295,ES-002203,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 3,0.641,Medium,0.0036066509665545,True,0.6633868676405784,Watch,0,-0.1675367159981988,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Supply delay,Low activity completion,Lower complaints,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
296,ES-005535,2026-07-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 5,0.7285,Medium,0.0034940141487092,True,0.730154641649444,Watch,0,-0.1716713201690223,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Reporting delay,Elevated complaints,Low activity completion,Strong achievement,Risk: Medium | Forecast: Watch | Anomaly: No alert,Validate reporting timeliness and follow up on delayed field submissions. | Review feedback and complaint records for recurring operational issues. | Review delayed or incomplete activities and implementation constraints.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
297,ES-006843,2026-03-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 4,0.6643,Medium,0.0033206653169359,True,0.6756652497655834,Watch,0,-0.2129770389106255,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Low activity completion,Reporting delay,Lower complaints,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
298,ES-003742,2026-06-01,Education Access Project,Education,Borno,Mafa,Mafa Site 3,0.6587,Medium,0.0032842292372173,True,0.657763381436945,Watch,0,-0.213145715963178,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Low activity completion,Access constraints,Timely reporting,Risk: Medium | Forecast: Watch | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
299,ES-004762,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 5,0.6636,Medium,0.0032239362029153,True,0.6754397382393142,Watch,0,-0.2176386489342078,50.0,50.0,0.0,40.0,Medium,2,Multiple Signals,Low achievement,Low activity completion,Elevated complaints,Strong staff availability,Risk: Medium | Forecast: Watch | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Monitor and review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
