record_id,reporting_date,programme_name,sector,state,lga,community,monthly_target,monthly_achievement,achievement_rate,activity_completion_rate,budget_utilisation_rate,reporting_delay_days,complaints_count,staff_availability_rate,supply_delay_days,previous_month_achievement_rate,access_constraint_score,data_quality_score,anomaly_flag,risk_label,recommended_action
ES-000052,2025-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,644,545,0.8462,0.8685,0.7885,3,2,0.9238,12,0.8617,0.2943,0.9231,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000053,2025-09-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,603,490,0.8129,0.7769,0.7664,3,4,0.8994,3,0.8462,0.2533,0.8909,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000054,2025-10-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,605,479,0.7912,0.7695,0.9744,6,4,0.8223,5,0.8129,0.3496,0.9212,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000055,2025-11-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,481,391,0.8123,0.7711,0.8489,3,1,0.8219,2,0.7912,0.2778,0.9279,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000056,2025-12-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,536,443,0.8274,0.8245,0.6032,6,8,0.7954,7,0.8123,0.2891,0.8251,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000057,2026-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,526,418,0.7953,0.8194,0.7453,3,1,0.8034,2,0.8274,0.3313,0.8688,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000058,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,533,427,0.8009,0.7347,0.8105,4,1,0.8111,6,0.7953,0.2878,0.9464,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000059,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,548,464,0.8475,0.7211,0.8615,4,2,0.7942,9,0.8009,0.2693,0.9075,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000060,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,511,448,0.8766,0.7881,0.8438,8,2,0.8262,3,0.8475,0.3565,0.8888,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000061,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,547,462,0.8451,0.7858,0.9081,5,3,0.8194,11,0.8766,0.3037,0.9152,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000062,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,598,478,0.7991,0.6611,0.9048,3,3,0.8455,7,0.8451,0.2654,0.8493,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000063,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,668,575,0.8603,0.7192,0.7564,5,4,0.871,2,0.7991,0.2547,0.8727,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000064,2026-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,620,488,0.7872,0.7597,0.8076,4,2,0.8563,5,0.8603,0.2328,0.8819,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000065,2024-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,365,298,0.8169,0.7966,0.769,9,5,0.9338,4,0.8262,0.5819,0.9274,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000066,2024-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,321,260,0.8096,0.6792,0.8265,3,2,0.9228,7,0.8169,0.5701,0.9132,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000067,2024-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,279,223,0.799,0.7566,0.936,4,6,0.9238,10,0.8096,0.4093,0.845,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000068,2024-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,317,228,0.7182,0.6965,0.8091,6,3,0.9101,9,0.799,0.3952,0.8757,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000069,2024-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,349,257,0.7365,0.6859,0.7008,9,6,0.8577,2,0.7182,0.2948,0.9447,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000070,2024-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,287,213,0.7424,0.7137,0.8268,2,4,0.8077,9,0.7365,0.3293,0.94,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000071,2024-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,301,227,0.7534,0.7692,0.7002,3,3,0.7964,4,0.7424,0.3236,0.9464,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000072,2024-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,312,228,0.7321,0.7758,0.7706,4,3,0.8404,7,0.7534,0.3759,0.8927,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000073,2024-09-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,351,261,0.7434,0.8172,0.8701,7,4,0.8466,8,0.7321,0.2866,0.9795,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000074,2024-10-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,358,294,0.8222,0.844,0.8589,2,4,0.8728,3,0.7434,0.2813,0.9203,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000075,2024-11-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,332,292,0.8781,0.8983,0.8653,0,1,0.8959,3,0.8222,0.34,0.9534,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000076,2024-12-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,337,300,0.8893,0.8949,0.7871,1,1,0.8768,7,0.8781,0.3437,0.9368,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000077,2025-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,348,290,0.8322,0.7669,0.9513,3,4,0.8909,7,0.8893,0.3518,0.9403,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000078,2025-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,323,255,0.7897,0.7995,0.7869,9,4,0.9142,8,0.8322,0.4394,0.9386,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000079,2025-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,334,288,0.8613,0.8258,0.878,2,1,0.9468,12,0.7897,0.3664,0.9221,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000080,2025-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,335,298,0.8893,0.8354,0.6351,2,3,0.8806,3,0.8613,0.3267,0.899,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000081,2025-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,391,343,0.8784,0.8627,0.8077,8,2,0.865,2,0.8893,0.3604,0.9241,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000082,2025-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,342,291,0.8503,0.859,0.7324,3,4,0.8234,6,0.8784,0.3112,0.8523,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000083,2025-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,362,313,0.8643,0.9053,0.8197,5,2,0.8291,3,0.8503,0.2923,0.9031,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000084,2025-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,333,299,0.8978,0.8611,0.7028,6,1,0.895,3,0.8643,0.2496,0.9881,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000085,2025-09-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,320,256,0.8005,0.8226,0.8703,6,3,0.8423,8,0.8978,0.3056,0.8995,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000086,2025-10-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,375,327,0.8715,0.8543,0.7422,2,1,0.9073,6,0.8005,0.4059,0.9614,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000087,2025-11-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,317,232,0.7309,0.8052,0.8984,2,2,0.8403,7,0.8715,0.3342,0.9378,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000088,2025-12-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,363,305,0.839,0.8246,0.6907,2,5,0.8198,3,0.7309,0.2048,0.8421,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000089,2026-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,330,265,0.8021,0.7046,0.8373,6,3,0.8241,2,0.839,0.2422,0.9458,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000090,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,301,235,0.7815,0.7726,0.7717,5,0,0.8404,5,0.8021,0.2612,0.8955,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000091,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,314,260,0.8286,0.6822,0.7621,5,4,0.8811,5,0.7815,0.2436,0.9392,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000092,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,317,240,0.7585,0.5307,0.7991,9,0,0.929,10,0.8286,0.2313,0.9021,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000093,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,344,260,0.7563,0.7258,0.7431,10,2,0.9508,5,0.7585,0.3734,0.9166,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000094,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,285,236,0.8267,0.8235,0.6902,1,3,0.9753,10,0.7563,0.3756,0.9283,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000095,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,341,244,0.7148,0.7935,0.8242,4,5,0.9722,5,0.8267,0.3954,0.9597,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000096,2026-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 3,329,267,0.8105,0.7547,0.8861,4,4,0.8808,4,0.7148,0.4643,0.8792,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000097,2024-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,464,428,0.9215,0.789,0.863,5,2,0.9379,2,0.8658,0.2542,0.8597,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000098,2024-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,415,383,0.9232,0.7585,0.8138,3,2,0.9247,6,0.9215,0.2153,0.8744,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000099,2024-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,468,371,0.7935,0.6029,0.7231,6,4,0.8985,7,0.9232,0.2442,0.9328,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000100,2024-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,495,371,0.7503,0.6762,0.7285,9,5,0.8374,10,0.7935,0.2798,0.8581,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000101,2024-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,500,426,0.8522,0.5746,0.8178,5,4,0.8881,3,0.7503,0.3906,0.9397,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000102,2024-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,496,441,0.8887,0.7257,0.8467,8,2,0.8966,5,0.8522,0.3292,0.9475,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000103,2024-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,413,370,0.8966,0.7849,0.8596,5,1,0.8444,4,0.8887,0.3885,0.9404,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000104,2024-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,448,390,0.8698,0.8379,0.9278,13,3,0.875,9,0.8966,0.3572,0.865,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000105,2024-09-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,431,310,0.7183,0.782,0.7963,4,1,0.8766,16,0.8698,0.3107,0.8735,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000106,2024-10-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,501,384,0.7661,0.8061,0.8596,7,3,0.8614,4,0.7183,0.3108,0.8607,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000107,2024-11-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,481,375,0.7786,0.7787,0.9116,2,4,0.9432,2,0.7661,0.3574,0.943,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000108,2024-12-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,376,266,0.7087,0.7502,0.6711,2,2,0.9158,7,0.7786,0.3429,0.8937,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000109,2025-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,558,443,0.7946,0.7679,0.7108,5,4,0.9274,5,0.7087,0.3873,0.875,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000110,2025-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,397,350,0.8804,0.7763,0.8816,6,3,0.8678,13,0.7946,0.3504,0.8802,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000111,2025-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,512,452,0.8835,0.6478,0.8512,6,6,0.85,3,0.8804,0.2667,0.9171,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000112,2025-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,459,445,0.9688,0.7558,0.7793,3,1,0.9108,6,0.8835,0.2957,0.8753,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000113,2025-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,437,394,0.9022,0.756,0.8501,12,4,0.8653,2,0.9688,0.2755,0.8397,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000114,2025-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,500,451,0.9022,0.7811,0.9334,10,2,0.9106,6,0.9022,0.3422,0.9677,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000115,2025-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,481,401,0.8336,0.7655,0.8493,6,7,0.8741,5,0.9022,0.336,0.8908,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000116,2025-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,436,343,0.7866,0.7839,0.8119,4,1,0.8406,5,0.8336,0.3468,0.8761,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000117,2025-09-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,467,404,0.8655,0.781,0.6974,5,2,0.882,2,0.7866,0.3619,0.8494,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000118,2025-10-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,555,486,0.8751,0.6665,0.8993,8,0,0.9096,4,0.8655,0.3085,0.9524,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000119,2025-11-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,513,405,0.7896,0.7751,0.7403,3,0,0.8547,11,0.8751,0.2826,0.8537,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000120,2025-12-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,367,294,0.8003,0.7351,0.7299,5,2,0.859,9,0.7896,0.267,0.9203,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000121,2026-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,449,383,0.8525,0.6809,0.7244,1,4,0.8835,9,0.8003,0.2479,0.9334,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000122,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,459,403,0.8777,0.7505,1.0139,7,3,0.8828,6,0.8525,0.3417,0.8272,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000123,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,478,448,0.9373,0.7625,0.7527,2,2,0.8855,3,0.8777,0.3299,0.9185,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000124,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,415,363,0.8749,0.6945,0.704,3,1,0.8326,2,0.9373,0.3034,0.8364,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000125,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,437,381,0.8723,0.6659,0.7963,5,0,0.8591,3,0.8749,0.2847,0.9295,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000126,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,471,399,0.8478,0.5973,0.8512,6,2,0.8215,2,0.8723,0.2413,0.9563,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000127,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,451,350,0.7755,0.5772,0.9088,10,4,0.8388,11,0.8478,0.2205,0.939,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000128,2026-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,422,321,0.7612,0.5334,0.7448,6,2,0.8292,8,0.7755,0.3884,0.9258,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000129,2024-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,524,419,0.8,0.7818,0.6881,6,2,0.87,5,0.8735,0.2367,0.9256,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000130,2024-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,587,459,0.7822,0.6719,0.833,6,2,0.8341,4,0.8,0.1958,0.9598,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000131,2024-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,598,434,0.7261,0.6613,0.8375,5,1,0.8607,4,0.7822,0.2351,0.9209,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000132,2024-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,568,460,0.8097,0.7871,0.9769,32,1,0.8749,4,0.7261,0.3592,0.9075,1,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000133,2024-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,569,454,0.7984,0.7953,0.8537,9,2,0.8611,6,0.8097,0.4118,0.9319,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000134,2024-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,559,445,0.7966,0.7893,0.6901,8,5,0.9182,5,0.7984,0.4259,0.8399,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000135,2024-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,499,386,0.7734,0.8366,0.7572,2,5,0.9271,4,0.7966,0.3813,0.8994,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000136,2024-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,604,453,0.7502,0.7844,0.8057,1,1,0.8999,6,0.7734,0.4029,0.9693,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000137,2024-09-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,591,187,0.3158,0.6266,0.7655,3,3,0.9005,6,0.7502,0.3738,0.9401,1,High,Recommended for human review: examine target underachievement and verify contributing factors.
ES-000138,2024-10-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,495,337,0.6814,0.6737,0.8461,6,5,0.8726,9,0.6985,0.3878,0.8845,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000139,2024-11-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,590,408,0.691,0.6947,0.8692,4,3,0.8999,9,0.6814,0.3595,0.8435,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000140,2024-12-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,569,392,0.6883,0.7671,0.6719,4,3,0.9267,4,0.691,0.3494,0.9418,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000141,2025-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,520,319,0.6136,0.664,0.7486,6,7,0.9426,8,0.6883,0.3338,0.9116,0,High,Recommended for human review: examine target underachievement and verify contributing factors.
ES-000142,2025-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,575,372,0.6477,0.7621,0.8596,2,1,0.9677,7,0.6136,0.3059,0.8913,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000143,2025-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,635,470,0.74,0.72,0.8379,8,3,0.9169,2,0.6477,0.3158,0.876,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000144,2025-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,523,369,0.7053,0.7477,0.7721,0,1,0.8375,7,0.74,0.2383,0.8628,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000145,2025-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,621,481,0.7746,0.7385,0.7856,4,1,0.8387,6,0.7053,0.2275,0.9198,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000146,2025-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,550,411,0.7472,0.7688,0.8167,5,4,0.883,4,0.7746,0.3532,0.9258,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000147,2025-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,530,402,0.758,0.7686,0.6939,4,2,0.9157,5,0.7472,0.2996,0.9578,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000148,2025-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,556,399,0.7176,0.7556,0.8919,4,5,0.898,8,0.758,0.3586,0.9475,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000149,2025-09-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,564,373,0.6606,0.7892,0.7182,6,3,0.8771,12,0.7176,0.2971,0.8577,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000150,2025-10-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,564,384,0.68,0.7595,0.8327,7,2,0.9054,4,0.6606,0.2594,0.8896,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000151,2025-11-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,561,391,0.6967,0.8001,0.7696,7,4,0.9008,11,0.68,0.2835,0.9191,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000152,2025-12-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,605,409,0.6762,0.7289,0.6536,9,1,0.8908,5,0.6967,0.2446,0.9126,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000153,2026-01-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,588,421,0.7153,0.7948,0.7646,3,2,0.8915,1,0.6762,0.2547,0.971,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000154,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,535,443,0.8285,0.773,0.8142,1,5,0.9257,3,0.7153,0.2524,0.814,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000155,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,634,505,0.796,0.6778,0.8349,5,1,0.9106,1,0.8285,0.2112,0.9979,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000156,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,635,520,0.8185,0.6577,0.8536,5,6,0.9562,4,0.796,0.3049,0.8593,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000157,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,622,468,0.753,0.7151,0.7914,4,4,0.9143,5,0.8185,0.3005,0.9171,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000158,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,565,458,0.8112,0.7755,0.9066,3,3,0.8889,0,0.753,0.3285,0.8749,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000159,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,599,439,0.7329,0.8003,0.8469,3,4,0.891,9,0.8112,0.3284,0.9031,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000160,2026-08-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,587,394,0.6704,0.7593,0.7976,4,5,0.8842,5,0.7329,0.2688,0.8788,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
